CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,04/28/2025 12:00:00 AM,25-021074,VANDALISM,31Y,685 CARY AV,Oakland,CA,POINT (-122.17965 37.73403)
OTHER,06/02/2025 03:30:00 AM,25-024149,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,06X,709 32ND ST,Oakland,CA,POINT (-122.27232 37.82151)
ARSON,05/06/2025 05:23:00 PM,25-020086,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",23X,3775 ALAMEDA AV,Oakland,CA,POINT (-122.22388 37.76815)
,04/19/2025 10:59:00 AM,25-906594,GRAND THEFT,02X,1015 ADELINE ST,Oakland,CA,POINT (-122.28708 37.80694)
RECOVERED O/S STOLEN,04/27/2025 05:00:00 PM,25-018684,VEHICLE THEFT - AUTO,10X,958 55TH ST,Oakland,CA,POINT (-122.27678 37.8392)
MISDEMEANOR ASSAULT,04/14/2025 11:00:00 AM,25-022364,BATTERY,09X,3600 BROADWAY,Oakland,CA,POINT (-122.25877 37.82317)
CURFEW & LOITERING,05/02/2025 09:30:00 AM,25-021073,TRESPASS:OCCUPY PROPERTY W/O CONSENT,04X,540 21ST ST,Oakland,CA,POINT (-122.27063 37.81054)
MISDEMEANOR ASSAULT,05/19/2025 11:09:00 AM,25-021976,INFLICT CRPL INJ SP/COHAB,29X,6114 FOOTHILL BLVD,Oakland,CA,POINT (-122.18702 37.77113)
PETTY THEFT,05/03/2025 10:44:00 AM,25-020037,THEFT,06X,814 30TH ST,Oakland,CA,POINT (-122.27406 37.82015)
FELONY ASSAULT,05/10/2025 04:58:00 PM,25-020717,ADW WITH FORCE: POSSIBLE GBI,04X,1530 HARRISON ST,Oakland,CA,POINT (-122.26631 37.80419)
MISDEMEANOR ASSAULT,05/02/2025 04:40:00 PM,25-019450,BATTERY,17X,1725 13TH AV,Oakland,CA,POINT (-122.24397 37.79216)
,03/22/2025 06:15:00 AM,25-905482,ATTEMPT VEHICLE THEFT-AUTO,05X,1001 21ST ST,Oakland,CA,POINT (-122.28137 37.81385)
VANDALISM,05/01/2025 03:30:00 PM,25-019333,VANDALISM,01X,200 HARRISON ST,Oakland,CA,POINT (-122.27216 37.79488)
,06/11/2025 10:59:00 PM,25-025504,BURGLARY-FORCIBLE ENTRY,01X,525 EMBARCADERO,Oakland,CA,POINT (-122.25988 37.7901)
,05/23/2025 06:00:00 PM,25-906770,BURGLARY-AUTO,09X,3920 PIEDMONT AVE,Oakland,CA,POINT (-122.25396 37.82484)
STOLEN VEHICLE,04/06/2025 03:00:00 PM,25-015348,VEHICLE THEFT - AUTO,01X,211 FRANKLIN ST,Oakland,CA,POINT (-122.27503 37.79573)
BURG - COMMERCIAL,04/04/2025 10:38:00 AM,25-903143,BURGLARY-NO FORCE,20X,2615 E 12TH ST,Oakland,CA,POINT (-122.2331 37.77956)
GRAND THEFT,05/18/2025 07:37:00 AM,25-021940,GRAND THEFT,04X,2000 BROADWAY,Oakland,CA,POINT (-122.26736 37.80962)
STOLEN VEHICLE,04/07/2025 11:00:00 PM,25-015723,VEHICLE THEFT - AUTO,14X,77 VERNON ST,Oakland,CA,POINT (-122.25941 37.81301)
MISDEMEANOR ASSAULT,04/20/2025 01:00:00 PM,25-017539,ASSAULT,21Y,3124 PLEITNER AV,Oakland,CA,POINT (-122.21172 37.79352)
PETTY THEFT,03/26/2025 08:00:00 PM,25-013723,THEFT,13Y,130 CALDECOTT LN,Oakland,CA,POINT (-122.22297 37.85288)
,05/10/2025 01:15:00 AM,25-905120,BURGLARY-AUTO,08X,2775 TELEGRAPH AVE,Oakland,CA,POINT (-122.26768 37.81708)
FORGERY & COUNTERFEITING,04/01/2025 01:17:00 AM,25-014320,FORGERY,17Y,1285 MACARTHUR BLVD,Oakland,CA,POINT (-122.23178 37.80242)
DUI,03/18/2025 10:09:00 PM,25-012351,DUI ALCOHOL/DRUGS,31Y,HEGENBERGER RD & NB I880,Oakland,CA,
PETTY THEFT,04/30/2025 07:10:00 AM,25-019086,THEFT,31Y,455 HALE AV,Oakland,CA,POINT (-122.18066 37.73363)
MISCELLANEOUS TRAFFIC CRIME,05/09/2025 07:27:00 PM,25-020489,DUI ALCOHOL/0.08 PERCENT,22X,2552 MONTANA ST,Oakland,CA,POINT (-122.21427 37.79802)
,05/07/2025 09:45:00 PM,25-906951,BURGLARY-NO FORCE,23X,3511 E 12TH ST,Oakland,CA,POINT (-122.22246 37.77512)
DOMESTIC VIOLENCE,06/09/2025 04:40:00 AM,25-007868,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,935 CAMPBELL ST,Oakland,CA,POINT (-122.29805 37.80849)
,04/13/2025 04:00:00 PM,25-905973,VANDALISM,22Y,3700 COOLIDGE AVE,Oakland,CA,POINT (-122.2065 37.79963)
NARCOTICS,05/24/2025 11:54:00 AM,25-022718,POSSESS MARIJUANA/HASHISH FOR SALE,30X,7445 WELD ST,Oakland,CA,POINT (-122.18048 37.76121)
VANDALISM,05/06/2025 10:10:00 AM,25-020014,VANDALISM,09X,55 MACARTHUR BLVD,Oakland,CA,POINT (-122.25467 37.82109)
PETTY THEFT,03/27/2025 06:00:00 PM,25-013816,THEFT,77X,DOWNTOWN,Oakland,CA,
FELONY ASSAULT,05/27/2025 05:00:00 AM,25-023074,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26Y,977 77TH AV,Oakland,CA,POINT (-122.19082 37.7534)
BURG - RESIDENTIAL,04/25/2025 09:41:00 PM,25-018452,BURGLARY-FORCIBLE ENTRY,12Y,356 ALCATRAZ AV,Oakland,CA,POINT (-122.25512 37.85093)
PETTY THEFT,03/28/2025 08:30:00 PM,25-013956,THEFT,25X,3800 ENOS AV,Oakland,CA,POINT (-122.18746 37.78685)
MISDEMEANOR ASSAULT,04/27/2025 06:30:00 PM,25-018690,BATTERY,15X,1901 3RD AV,Oakland,CA,POINT (-122.25027 37.80015)
,05/28/2025 05:51:00 AM,25-906573,GRAND THEFT,13Z,7295 SARONI DRIVE,Oakland,CA,POINT (-122.19298 37.83633)
ROBBERY,04/05/2025 06:30:00 PM,25-015198,MISD-MINOR POSS CONCELED FIREARM,02X,749 ADELINE ST,Oakland,CA,POINT (-122.28831 37.80457)
STOLEN VEHICLE,05/04/2025 05:00:00 PM,25-019855,VEHICLE THEFT - AUTO,23X,3511 E 12TH ST,Oakland,CA,POINT (-122.22246 37.77512)
VANDALISM,04/09/2025 10:00:00 AM,25-015953,VEHICLE THEFT - AUTO,10X,570 BODEN WAY,Oakland,CA,POINT (-122.24764 37.80812)
DOMESTIC VIOLENCE,05/19/2025 05:30:00 PM,25-022043,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,31Y,680 LOUISIANA ST,Oakland,CA,POINT (-122.18647 37.73982)
FELONY ASSAULT,03/29/2025 11:50:00 AM,25-014051,SEXUAL ASSAULT ON ANIMAL,28X,4320 ALLENDALE AV,Oakland,CA,POINT (-122.20214 37.78294)
BURG - AUTO,05/27/2025 11:00:00 AM,25-023243,BURGLARY-AUTO,19X,1428 6TH AV,Oakland,CA,POINT (-122.25249 37.79538)
,04/19/2025 12:00:00 AM,25-906116,ATTEMPT VEHICLE THEFT-AUTO,14X,315 PARK VIEW TERRACE,Oakland,CA,POINT (-122.25924 37.81117)
VANDALISM,06/10/2025 08:40:00 PM,25-025326,VANDALISM:DAMAGE PROPERTY,23X,3400 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.22372 37.77659)
DISORDERLY CONDUCT,04/02/2025 02:59:00 PM,25-014725,DISTURB THE PEACE,05X,1919 MARKET ST,Oakland,CA,POINT (-122.28007 37.81225)
MISDEMEANOR ASSAULT,05/12/2025 04:10:00 PM,25-020976,BATTERY,21Y,2736 NICOL AV,Oakland,CA,POINT (-122.21749 37.79421)
OTHER,03/21/2025 01:00:00 PM,25-012724,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,02Y,5200 7TH ST,Oakland,CA,POINT (-122.3366 37.80511)
MISDEMEANOR ASSAULT,03/25/2025 08:43:00 PM,25-013387,BATTERY,09X,3600 BROADWAY,Oakland,CA,POINT (-122.25877 37.82317)
THREATS,05/30/2025 09:30:00 AM,25-024386,MAINTAIN PUBLIC NUISANCE,04X,1700 BROADWAY,Oakland,CA,POINT (-122.26965 37.80679)
BURG - AUTO,03/27/2025 08:50:00 AM,25-902979,BURGLARY-AUTO,25X,35TH AV & MACARTHUR BLVD,Oakland,CA,POINT (-122.20063 37.79373)
GRAND THEFT,04/04/2025 10:42:00 AM,25-015002,POSSESS NARCOTIC CONTROLLED SUBSTANCE,26X,4301 SAN LEANDRO ST,Oakland,CA,POINT (-122.21705 37.77026)
FELONY ASSAULT,05/16/2025 01:22:00 AM,25-021505,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,31Y,254 FITZPATRICK RD,Oakland,CA,POINT (-122.1929 37.73502)
MISDEMEANOR ASSAULT,05/24/2025 11:35:00 PM,25-022795,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,06X,23RD ST & SAN PABLO AV,Oakland,CA,POINT (-122.27429 37.81385)
STOLEN VEHICLE,05/25/2025 02:00:00 PM,25-022963,VEHICLE THEFT - AUTO,11X,6121 RACINE ST,Oakland,CA,POINT (-122.26235 37.84787)
BURG - AUTO,04/24/2025 08:00:00 PM,25-903694,BURGLARY-AUTO,01X,450 2ND ST,Oakland,CA,POINT (-122.27649 37.7961)
MISDEMEANOR ASSAULT,05/21/2025 08:41:00 AM,25-022258,BATTERY,30X,2696 HAVENSCOURT BLVD,Oakland,CA,POINT (-122.18254 37.76887)
,05/30/2025 11:00:00 PM,25-906998,BURGLARY-AUTO,12X,5055 TELEGRAPH AVE,Oakland,CA,POINT (-122.26242 37.83681)
PETTY THEFT,04/24/2025 06:00:00 PM,25-018436,THEFT,15X,600 BROOKLYN AV,Oakland,CA,POINT (-122.24897 37.8047)
BURG - RESIDENTIAL,03/24/2025 07:30:00 PM,25-902660,BURGLARY-NO FORCE,11X,620 ALCATRAZ AV,Oakland,CA,POINT (-122.26324 37.84983)
STOLEN VEHICLE,05/05/2025 03:00:00 PM,25-019998,VEHICLE THEFT - AUTO,01X,155 4TH ST,Oakland,CA,POINT (-122.2685 37.79467)
FELONY ASSAULT,05/10/2025 04:58:00 PM,25-020717,THREAT CRIME:INT:TERRORIZE,04X,1530 HARRISON ST,Oakland,CA,POINT (-122.26631 37.80419)
CURFEW & LOITERING,05/17/2025 11:33:00 PM,25-021811,TRESPASS:DRIVE ON PRIVATE PROPERTY,17Y,2514 9TH AV,Oakland,CA,POINT (-122.24021 37.80015)
,06/14/2025 03:00:00 PM,25-025857,VIOLATION OF PROBATION-FELONY,18X,1701 E 19TH ST,Oakland,CA,POINT (-122.23993 37.7909)
STOLEN VEHICLE,05/17/2025 04:00:00 PM,25-021732,VEHICLE THEFT - AUTO,27Y,5579 HARVEY AV,Oakland,CA,POINT (-122.19595 37.77028)
STOLEN VEHICLE,04/30/2025 07:00:00 AM,25-019161,VEHICLE THEFT - AUTO,30X,7630 LOCKWOOD ST,Oakland,CA,POINT (-122.17928 37.76107)
DISORDERLY CONDUCT,04/11/2025 06:07:00 PM,25-016260,DISTURB THE PEACE,04X,20TH ST & TELEGRAPH AV,Oakland,CA,POINT (-122.26958 37.80953)
BURG - AUTO,04/02/2025 05:20:00 PM,25-905770,BURGLARY-AUTO,12X,400 40TH ST,Oakland,CA,POINT (-122.25995 37.82885)
,04/02/2025 12:57:00 PM,25-905878,GRAND THEFT,30X,7835 ARTHUR ST,Oakland,CA,POINT (-122.17707 37.76073)
VANDALISM,04/25/2025 09:24:00 PM,25-022173,VANDALISM,29X,4000 EDWARDS AV,Oakland,CA,POINT (-122.16591 37.77525)
,04/17/2025 08:30:00 AM,25-906075,BURGLARY-NO FORCE,12Y,6060 HARWOOD AVE,Oakland,CA,POINT (-122.25052 37.84877)
MISDEMEANOR ASSAULT,03/31/2025 05:30:00 PM,25-014272,THEFT,01X,336 WATER ST,Oakland,CA,POINT (-122.27605 37.79425)
,06/13/2025 07:58:00 AM,25-025677,ADW NOT F/ARM:PO/FIRE:GBI,07X,2400 BLOCK OF WOOD ST,Oakland,CA,POINT (-122.29213 37.82038)
DOMESTIC VIOLENCE,03/17/2025 11:57:00 AM,25-012085,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,983 57TH ST,Oakland,CA,POINT (-122.27781 37.8412)
PETTY THEFT,05/20/2025 12:00:00 AM,25-022205,THEFT,24X,2316 RANSOM AV,Oakland,CA,POINT (-122.21101 37.78408)
OTHER,06/08/2025 05:20:00 AM,25-024898,BATTERY,33X,1358 84TH AV,Oakland,CA,POINT (-122.17825 37.75381)
